time,[depth_sim_node_depth]depth_m,[data_collector]rpm_NAN,[data_collector]roll_rad,[data_collector]pitch_rad,[data_collector]yaw_rad,[data_collector]v_eb_b_x_m/s,[data_collector]v_eb_b_y_m/s,[data_collector]v_eb_b_z_m/s,[data_collector]lat_rad,[data_collector]lon_rad,[data_collector]alt_m,[data_collector]lat0_rad,[data_collector]lon0_rad,[data_collector]alt0_m,[data_collector]r_b_n_m,[data_collector]r_b_e_m,[data_collector]r_b_d_m,[data_collector]w_ib_b_x_rad/s,[data_collector]w_ib_b_y_rad/s,[data_collector]w_ib_b_z_rad/s,[data_collector]f_ib_b_x_m/s^2,[data_collector]f_ib_b_y_m/s^2,[data_collector]f_ib_b_z_m/s^2,[data_collector]fault_gen/depth_sensor_zero_NAN
1679449595.8591943,-0.023494612,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.0,0.0,0.0,4.114865357999054e-05,-4.1148653579990536e-05,-4.394394991839449e-05,0.0,0.0,-9.799105342633558,False
1679449595.9091942,-0.044039172,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.0,0.0,0.0,4.114865357999054e-05,-4.1148653579990536e-05,-4.394394991839449e-05,0.0,0.0,-9.799105342633558,False
1679449595.9591942,0.071104496,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.0,0.0,0.0,4.114865357999054e-05,-4.1148653579990536e-05,-4.394394991839449e-05,0.0,0.0,-9.799105342633558,False
1679449596.0091941,0.033896243,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.0,0.0,0.0,4.114865357999054e-05,-4.1148653579990536e-05,-4.394394991839449e-05,0.0,0.0,-9.799105342633558,False
1679449596.059194,0.049038621,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.6467836953250381,-1.4069862681874037,0.0,0.0,0.0,0.0,4.114865357999054e-05,-4.1148653579990536e-05,-4.394394991839449e-05,0.0,0.0,-9.799105342633558,False
1679449596.109194,0.000519979,32.0,0.0,-7.348873019004403e-11,0.7853981633974483,5.473329232504846e-07,0.0,-4.964233358697741e-11,0.6467836953250387,-1.406986268187403,4.964229336417589e-13,0.6467836953250381,-1.4069862681874037,0.0,3.8702282159707384e-09,3.870228215970738e-09,-4.964233358697742e-13,4.1148653576577224e-05,-4.115600253890302e-05,-4.394394996718442e-05,5.4732572205325627e-05,-4.8099855729530436e-11,-9.799105347552741,False
1679449596.159194,-0.026278631,32.0,7.785880625978347e-23,-2.2046521956782204e-10,0.7853981633974483,1.0946658457081625e-06,1.8272934910970538e-20,-9.928393918987719e-11,0.6467836953250399,-1.4069862681874015,1.4892599121830707e-12,0.6467836953250381,-1.4069862681874037,0.0,1.1610684642306148e-08,1.1610684642306405e-08,-1.4892619233125164e-12,4.1148653569934554e-05,-4.1163351400715254e-05,-4.394395001899837e-05,5.473113189202912e-05,-9.619970969799529e-11,-9.799105347507613,False
1679449596.209194,-0.055503291,32.0,7.785880625978347e-23,-2.2046521956782204e-10,0.7853981633974483,1.0946658457081625e-06,1.8272934910970538e-20,-9.928393918987719e-11,0.6467836953250399,-1.4069862681874015,1.4892599121830707e-12,0.6467836953250381,-1.4069862681874037,0.0,1.1610684642306148e-08,1.1610684642306405e-08,-1.4892619233125164e-12,4.1148653569934554e-05,-4.1163351400715254e-05,-4.394395001899837e-05,5.473113189202912e-05,-9.619970969799529e-11,-9.799105347507613,False
1679449596.259194,-0.000920240,64.0,1.38334348687168e-18,-6.613937134212219e-10,0.7853981633974483,3.2839975361694326e-06,3.246430887408538e-16,-2.978510152892719e-10,0.6467836953250435,-1.4069862681873968,4.467748344922537e-12,0.6467836953250381,-1.4069862681874037,0.0,3.483205391226425e-08,3.4832053916855644e-08,-4.467764836132857e-12,4.1148653549960955e-05,-4.119274694473668e-05,-4.394395022135677e-05,0.00021892668800398179,-2.8856668636401337e-10,-9.799105362219859,False
1679449596.3091938,0.013390200,64.0,1.38334348687168e-18,-6.613937134212219e-10,0.7853981633974483,3.2839975361694326e-06,3.246430887408538e-16,-2.978510152892719e-10,0.6467836953250435,-1.4069862681873968,4.467748344922537e-12,0.6467836953250381,-1.4069862681874037,0.0,3.483205391226425e-08,3.4832053916855644e-08,-4.467764836132857e-12,4.1148653549960955e-05,-4.119274694473668e-05,-4.394395022135677e-05,0.00021892668800398179,-2.8856668636401337e-10,-9.799105362219859,False
1679449596.3591938,-0.062753296,64.0,1.521472016349685e-17,-1.396268300248576e-09,0.7853981633974482,5.473329217655242e-06,3.246266195120538e-15,-4.964117919468642e-10,0.6467836953250496,-1.4069862681873893,9.431789842030345e-12,0.6467836953250381,-1.4069862681874037,0.0,7.353433594401684e-08,7.353433599451736e-08,-9.43184655534614e-12,4.114865351817663e-05,-4.122214189760787e-05,-4.394395044501753e-05,0.00021891948600931036,-4.807065467111337e-10,-9.799105362038793,False
1679449596.4091938,-0.005561539,64.0,6.361942077802391e-17,-2.4250790925369645e-09,0.7853981633974477,7.662660882451272e-06,1.1361884011864993e-14,-6.949612771516255e-10,0.6467836953250582,-1.4069862681873786,1.6381216787959608e-11,0.6467836953250381,-1.4069862681874037,0.0,1.2771753058282494e-07,1.2771753079400675e-07,-1.638135233555754e-11,4.1148653475688044e-05,-4.125153586172766e-05,-4.3943950699187e-05,0.00021890940293137705,-6.725870471028105e-10,-9.799105361857102,False
1679449596.4591937,0.024745753,96.0,1.798434022655432e-16,-4.1152558781309126e-09,0.7853981633974467,1.2588657139095903e-05,2.728485232735707e-14,-1.1417061554450353e-09,0.6467836953250722,-1.406986268187361,2.7797760286957068e-11,0.6467836953250381,-1.4069862681874037,0.0,2.1673277868078307e-07,2.1673277927783091e-07,-2.779810860511558e-11,4.114865340654131e-05,-4.13176732340992e-05,-4.3943951237078976e-05,0.0004925592999327562,-1.1047061626350865e-09,-9.799105386269908,False
1679449596.5091937,-0.017937597,96.0,1.798434022655432e-16,-4.1152558781309126e-09,0.7853981633974467,1.2588657139095903e-05,2.728485232735707e-14,-1.1417061554450353e-09,0.6467836953250722,-1.406986268187361,2.7797760286957068e-11,0.6467836953250381,-1.4069862681874037,0.0,2.1673277868078307e-07,2.1673277927783091e-07,-2.779810860511558e-11,4.114865340654131e-05,-4.13176732340992e-05,-4.3943951237078976e-05,0.0004925592999327562,-1.1047061626350865e-09,-9.799105386269908,False
1679449596.5591936,-0.072738168,96.0,4.791068189054582e-16,-6.466775305432303e-09,0.7853981633974443,1.7514653327207515e-05,7.026061781915876e-14,-1.5884112750190666e-09,0.6467836953250916,-1.4069862681873369,4.368074040387154e-11,0.6467836953250381,-1.4069862681874037,0.0,3.405800795620115e-07,3.405800811526941e-07,-4.3681500582505665e-11,4.114865331985447e-05,-4.138380827131071e-05,-4.3943951898090823e-05,0.0004925362503298179,-1.5349025330417665e-09,-9.799105385858546,False
1679449596.6091936,-0.013595998,96.0,1.1326298499809376e-15,-9.479604781441974e-09,0.7853981633974388,2.2440649414826326e-05,1.5344998066669823e-13,-2.0350587249346844e-09,0.6467836953251166,-1.4069862681873058,6.402920036834346e-11,0.6467836953250381,-1.4069862681874037,0.0,4.992594322315863e-07,4.99259435992378e-07,-6.403063664547777e-11,4.114865322122902e-05,-4.1449940049221986e-05,-4.394395272887823e-05,0.0004925067172841281,-1.9637863027871937e-09,-9.799105385444737,False
1679449596.6591935,-0.006504846,96.0,1.1326298499809376e-15,-9.479604781441974e-09,0.7853981633974388,2.2440649414826326e-05,1.5344998066669823e-13,-2.0350587249346844e-09,0.6467836953251166,-1.4069862681873058,6.402920036834346e-11,0.6467836953250381,-1.4069862681874037,0.0,4.992594322315863e-07,4.99259435992378e-07,-6.403063664547777e-11,4.114865322122902e-05,-4.1449940049221986e-05,-4.394395272887823e-05,0.0004925067172841281,-1.9637863027871937e-09,-9.799105385444737,False
1679449596.7091935,-0.007969491,128.0,2.3675589962725383e-15,-1.3668123583515597e-08,0.7853981633974285,3.119797583274624e-05,2.900132605479358e-13,-2.8291269292321203e-09,0.6467836953251512,-1.4069862681872625,9.231620548277229e-11,0.6467836953250381,-1.4069862681874037,0.0,7.198624328873635e-07,7.198624407495579e-07,-9.231894849299022e-11,4.114865309236628e-05,-4.156751035612281e-05,-4.3943954117624374e-05,0.0008755987066432007,-2.7280587663949896e-09,-9.799105419459803,False
1679449596.7591934,-0.010652519,128.0,2.3675589962725383e-15,-1.3668123583515597e-08,0.7853981633974285,3.119797583274624e-05,2.900132605479358e-13,-2.8291269292321203e-09,0.6467836953251512,-1.4069862681872625,9.231620548277229e-11,0.6467836953250381,-1.4069862681874037,0.0,7.198624328873635e-07,7.198624407495579e-07,-9.231894849299022e-11,4.114865309236628e-05,-4.156751035612281e-05,-4.3943954117624374e-05,0.0008755987066432007,-2.7280587663949896e-09,-9.799105419459803,False
1679449596.8091934,0.003647050,128.0,4.726142133094612e-15,-1.9032271400234785e-08,0.7853981633974089,3.995530196031192e-05,5.539597563368417e-13,-3.6230414553017186e-09,0.6467836953251956,-1.406986268187207,1.2853901563428159e-10,0.6467836953250381,-1.4069862681874037,0.0,1.0023890785755594e-06,1.0023890942719166e-06,-1.285439019059573e-10,4.114865296606663e-05,-4.168507463188111e-05,-4.39439560063393e-05,0.0008755461138243666,-3.484941347486157e-09,-9.799105418715365,False
1679449596.8591933,0.018078897,160.0,8.929147141586827e-15,-2.6233369334617443e-08,0.7853981633973739,5.363862401362078e-05,9.872973770543743e-13,-4.863535048381013e-09,0.6467836953252553,-1.4069862681871326,1.771602948997482e-10,0.6467836953250381,-1.4069862681874037,0.0,1.3816714193304507e-06,1.3816714489892712e-06,-1.771690437412698e-10,4.114865282946582e-05,-4.186877179098159e-05,-4.394395898305369e-05,0.0013680751421851303,-4.670540039075552e-09,-9.799105462229981,False
